domain,keyword_combinations,predefined_title,predefined_answer,severity_tier,action_url
relationships,had a massive toxic fight and argument with my boyfriend and he is ghosting me or i feel rejected by my close friends group and the distance is making me sad or i am feeling left out ghosted and rejected by someone i deeply care about,Relational Attachment Anxiety Management (Ref: P-24),"-> Clinical Insight: Situational loneliness in college ecosystems is a natural transitional phase, not a permanent reflection of your sociability.
-> Psychological Exercise: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.
-> Actionable Next Step: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.",1,https://university.edu/support/relationships
psychology,i cannot focus on my studies because i feel like an academic imposter who will fail or i am obsessed with my cgpa calculation and perfectionist expectations are killing me or i am having a complete nervous breakdown over school work,GPA Evaluation Threat Reframe (Ref: P-25),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",2,https://university.edu/support/psychology
mental_health,everything is spinning and i feel completely detached from my physical body or i am having a severe nervous breakdown and mental collapse right now or i cannot sleep at all because my mind is racing with bad nightmares and insomnia,Severe Overwhelm Crisis Stabilization (Ref: P-26),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.
-> Actionable Next Step: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.",2,https://university.edu/support/mental_health
relationships,i just went through a terrible breakup and i feel completely lonely and isolated or caught in a codependent relationship cycle that is destroying my individual independence or dealing with extreme family friction and my parents are constantly judging me,Situational Isolation Intervention (Ref: P-27),"-> Clinical Insight: Situational loneliness in college ecosystems is a natural transitional phase, not a permanent reflection of your sociability.
-> Psychological Exercise: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'
-> Actionable Next Step: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.",1,https://university.edu/support/relationships
psychology,i feel super anxious and overwhelmed by my poor grades and low gpa or i cannot focus on my studies because i feel like an academic imposter who will fail or scared of freezing up during my university examinations and ruining my career scores,Acute Academic Burnout Collapse (Ref: P-28),"-> Clinical Insight: High-stakes academic evaluation creates cognitive interference, temporarily lowering working memory capacity.
-> Psychological Exercise: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.
-> Actionable Next Step: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.",1,https://university.edu/support/psychology
mental_health,i feel deeply depressed sad unmotivated and empty inside my room or i am having a severe nervous breakdown and mental collapse right now or everything is spinning and i feel completely detached from my physical body,Acute Panic Attack Somatic Override (Ref: P-29),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",2,https://university.edu/support/mental_health
relationships,my girlfriend lied to me and i have severe trust issues and jealousy problems or caught in a codependent relationship cycle that is destroying my individual independence or the loneliness is driving me to a complete breakdown and i feel totally abandoned,Interpersonal Conflict Resolution (Ref: P-30),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'",2,https://university.edu/support/relationships
psychology,i cannot focus on my studies because i feel like an academic imposter who will fail or i am stressed about failing this final presentation and viva tomorrow or scared of freezing up during my university examinations and ruining my career scores,Academic Evaluation Anxiety (Ref: P-31),"-> Clinical Insight: Tying personal human value to numerical GPA metrics triggers severe evolutionary threat responses.
-> Psychological Exercise: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.
-> Actionable Next Step: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.",1,https://university.edu/support/psychology
mental_health,brain fog is making it impossible to stay awake and i have zero energy left or i cannot sleep at all because my mind is racing with bad nightmares and insomnia or i feel deeply depressed sad unmotivated and empty inside my room,Somatic Hyper-Arousal Mitigation (Ref: P-32),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",1,https://university.edu/support/mental_health
relationships,the loneliness is driving me to a complete breakdown and i feel totally abandoned or misunderstanding with a friend has created a massive emotional distance between us or i am feeling left out ghosted and rejected by someone i deeply care about,Situational Isolation Intervention (Ref: P-33),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'
-> Actionable Next Step: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.",2,https://university.edu/support/relationships
psychology,i am stressed about failing this final presentation and viva tomorrow or i am hitting a total wall with my thesis and my mind is blanking out completely or i feel like i am about to collapse from academic stress,Academic Evaluation Anxiety (Ref: P-34),"-> Clinical Insight: Tying personal human value to numerical GPA metrics triggers severe evolutionary threat responses.
-> Psychological Exercise: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.
-> Actionable Next Step: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.",2,https://university.edu/support/psychology
mental_health,my chest is tight and i am hyperventilating shaking and panicking right now or i feel deeply depressed sad unmotivated and empty inside my room or i cannot sleep at all because my mind is racing with bad nightmares and insomnia,Somatic Hyper-Arousal Mitigation (Ref: P-35),"-> Clinical Insight: A nervous breakdown or feeling of collapse is your sympathetic nervous system firing an emergency shut-down signal due to prolonged, unmanaged hyper-arousal.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.",2,https://university.edu/support/mental_health
relationships,caught in a codependent relationship cycle that is destroying my individual independence or i feel rejected by my close friends group and the distance is making me sad or had a massive toxic fight and argument with my boyfriend and he is ghosting me,Interpersonal Conflict Resolution (Ref: P-36),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.
-> Actionable Next Step: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.",1,https://university.edu/support/relationships
psychology,i am stressed about failing this final presentation and viva tomorrow or i feel like i am about to collapse from academic stress or i cannot focus on my studies because i feel like an academic imposter who will fail,Performance Anxiety Regulation (Ref: P-37),"-> Clinical Insight: Tying personal human value to numerical GPA metrics triggers severe evolutionary threat responses.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",2,https://university.edu/support/psychology
mental_health,my chest is tight and i am hyperventilating shaking and panicking right now or having an acute panic attack and my heart is racing so fast it scares me or i am physically collapsing from stress and i cannot cope with reality anymore,Chronic Burnout Energy Balancing (Ref: P-38),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.
-> Actionable Next Step: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.",2,https://university.edu/support/mental_health
relationships,i am feeling left out ghosted and rejected by someone i deeply care about or had a massive toxic fight and argument with my boyfriend and he is ghosting me or my girlfriend lied to me and i have severe trust issues and jealousy problems,Communication Disconnection Reframe (Ref: P-39),"-> Clinical Insight: Situational loneliness in college ecosystems is a natural transitional phase, not a permanent reflection of your sociability.
-> Psychological Exercise: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'
-> Actionable Next Step: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.",1,https://university.edu/support/relationships
psychology,i am hitting a total wall with my thesis and my mind is blanking out completely or i cannot focus on my studies because i feel like an academic imposter who will fail or i am stressed about failing this final presentation and viva tomorrow,Academic Evaluation Anxiety (Ref: P-40),"-> Clinical Insight: Perceived academic failure activates catastrophic thinking loops regarding long-term career viability.
-> Psychological Exercise: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.
-> Actionable Next Step: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.",1,https://university.edu/support/psychology
mental_health,i feel deeply depressed sad unmotivated and empty inside my room or everything is spinning and i feel completely detached from my physical body or i feel completely numb isolated from everyone and i keep crying for no reason,Nervous System De-escalation Protocol (Ref: P-41),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",1,https://university.edu/support/mental_health
relationships,caught in a codependent relationship cycle that is destroying my individual independence or i feel rejected by my close friends group and the distance is making me sad or misunderstanding with a friend has created a massive emotional distance between us,Situational Isolation Intervention (Ref: P-42),"-> Clinical Insight: Interpersonal conflict destabilizes primary social safety nets, immediately activating attachment panic.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.",1,https://university.edu/support/relationships
psychology,i am stressed about failing this final presentation and viva tomorrow or i cannot focus on my studies because i feel like an academic imposter who will fail or i feel super anxious and overwhelmed by my poor grades and low gpa,Acute Academic Burnout Collapse (Ref: P-43),"-> Clinical Insight: Tying personal human value to numerical GPA metrics triggers severe evolutionary threat responses.
-> Psychological Exercise: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",1,https://university.edu/support/psychology
mental_health,having an acute panic attack and my heart is racing so fast it scares me or i feel deeply depressed sad unmotivated and empty inside my room or my chest is tight and i am hyperventilating shaking and panicking right now,Nervous System De-escalation Protocol (Ref: P-44),"-> Clinical Insight: Somatic hyper-arousal signals a false survival panic loop within your nervous pathways.
-> Psychological Exercise: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",2,https://university.edu/support/mental_health
relationships,misunderstanding with a friend has created a massive emotional distance between us or my girlfriend lied to me and i have severe trust issues and jealousy problems or the loneliness is driving me to a complete breakdown and i feel totally abandoned,Situational Isolation Intervention (Ref: P-45),"-> Clinical Insight: Situational loneliness in college ecosystems is a natural transitional phase, not a permanent reflection of your sociability.
-> Psychological Exercise: Relational Timeout: Mutually agree to a conditional 10-minute pause if emotional dysregulation peaks.
-> Actionable Next Step: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'",2,https://university.edu/support/relationships
psychology,i am having a complete nervous breakdown over school work or i feel like i am about to collapse from academic stress or i cannot focus on my studies because i feel like an academic imposter who will fail,Cognitive Overload Management (Ref: P-46),"-> Clinical Insight: Perceived academic failure activates catastrophic thinking loops regarding long-term career viability.
-> Psychological Exercise: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.
-> Actionable Next Step: Somatic Grounding: Use the 5-4-3-2-1 technique. Force visual focus onto 5 distinct room objects.",2,https://university.edu/support/psychology
mental_health,i am physically collapsing from stress and i cannot cope with reality anymore or i feel completely exhausted tired and drained from chronic burnout and fatigue or brain fog is making it impossible to stay awake and i have zero energy left,Somatic Hyper-Arousal Mitigation (Ref: P-47),"-> Clinical Insight: Chronic emotional and energetic burnout manifests when cognitive output outpaces regular restorative breaks.
-> Psychological Exercise: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.
-> Actionable Next Step: Progressive Muscle Relaxation (PMR): Tense your foot muscles for 5 seconds, release completely, then work upward through your limbs.",1,https://university.edu/support/mental_health
relationships,the loneliness is driving me to a complete breakdown and i feel totally abandoned or dealing with extreme family friction and my parents are constantly judging me or i am feeling left out ghosted and rejected by someone i deeply care about,Relational Attachment Anxiety Management (Ref: P-48),"-> Clinical Insight: Defensive posturing during an argument stems from an internal need to protect oneself from perceived emotional rejection.
-> Psychological Exercise: Core Fact Isolation: Write down the raw, objective facts of your relationship argument on paper, separating them from emotional theories.
-> Actionable Next Step: Assertive Communication: Deploy strict 'I' statements. Reframe defensive remarks into: 'I feel disconnected right now.'",2,https://university.edu/support/relationships
psychology,cramming for this competitive quiz ranking is causing heavy cognitive overload or i am completely panicking about my upcoming midterm exam or scared of freezing up during my university examinations and ruining my career scores,Performance Anxiety Regulation (Ref: P-49),"-> Clinical Insight: Tying personal human value to numerical GPA metrics triggers severe evolutionary threat responses.
-> Psychological Exercise: Cognitive Reframing: Intentionally separate your human value from your test score snapshot.
-> Actionable Next Step: Time Pacing: Apply the strict 25-minute Pomodoro focus block followed by a 5-minute break.",2,https://university.edu/support/psychology
mental_health,my chest is tight and i am hyperventilating shaking and panicking right now or i am physically collapsing from stress and i cannot cope with reality anymore or brain fog is making it impossible to stay awake and i have zero energy left,Acute Panic Attack Somatic Override (Ref: P-50),"-> Clinical Insight: Somatic hyper-arousal signals a false survival panic loop within your nervous pathways.
-> Psychological Exercise: Immediate Neural Brake: Drop your shoulders, unclench your jaw, and lengthen your exhale to 6 seconds to manually force your vagus nerve to slow your heart rate.
-> Actionable Next Step: Somatic Reset: Use Box Breathing. Inhale smoothly for 4 seconds, hold for 4, exhale for 4, and hold empty for 4.",2,https://university.edu/support/mental_health
